long,lat,order,hole,piece,id,group
447850.25712214,537037.14774224,1,FALSE,1,E06000001,E06000001.1
448289.15817305,536325.95710567,2,FALSE,1,E06000001,E06000001.1
448867.35459197,536626.0539986,3,FALSE,1,E06000001,E06000001.1
451001.4378969,535164.17606637,4,FALSE,1,E06000001,E06000001.1
453254.53290015,533817.89439836,5,FALSE,1,E06000001,E06000001.1
453342.33334775,533288.90978686,6,FALSE,1,E06000001,E06000001.1
453142.93599731,533600.80242572,7,FALSE,1,E06000001,E06000001.1
452637.23503163,533444.01108708,8,FALSE,1,E06000001,E06000001.1
452119.83394466,534239.29058624,9,FALSE,1,E06000001,E06000001.1
451893.23644555,534022.29485914,10,FALSE,1,E06000001,E06000001.1
452434.63925294,533449.30592762,11,FALSE,1,E06000001,E06000001.1
451926.23763909,533332.30000596,12,FALSE,1,E06000001,E06000001.1
452143.74454502,532910.48844251,13,FALSE,1,E06000001,E06000001.1
451801.73899825,533268.99494936,14,FALSE,1,E06000001,E06000001.1
451757.45432386,532651.07870667,15,FALSE,1,E06000001,E06000001.1
452051.34363039,532870.68683164,16,FALSE,1,E06000001,E06000001.1
451747.24830322,532553.67446825,17,FALSE,1,E06000001,E06000001.1
451778.25549234,531901.97584907,18,FALSE,1,E06000001,E06000001.1
453255.16040635,529037.2159155,19,FALSE,1,E06000001,E06000001.1
453995.15145831,528375.63343916,20,FALSE,1,E06000001,E06000001.1
454443.24995151,528467.22741557,21,FALSE,1,E06000001,E06000001.1
453783.15699133,528217.03227643,22,FALSE,1,E06000001,E06000001.1
453819.15845976,527427.45163469,23,FALSE,1,E06000001,E06000001.1
453476.46598073,526789.2725565,24,FALSE,1,E06000001,E06000001.1
454291.4583334,526997.76807794,25,FALSE,1,E06000001,E06000001.1
453236.76787225,526668.1802545,26,FALSE,1,E06000001,E06000001.1
452111.07182245,526960.46601153,27,FALSE,1,E06000001,E06000001.1
452363.47138397,526540.57890597,28,FALSE,1,E06000001,E06000001.1
451707.07628346,525616.00987066,29,FALSE,1,E06000001,E06000001.1
450954.66687271,525521.30882696,30,FALSE,1,E06000001,E06000001.1
450728.88999535,525659.33015802,31,FALSE,1,E06000001,E06000001.1
450528.52249529,525631.82470822,32,FALSE,1,E06000001,E06000001.1
450225.16118543,525710.49809252,33,FALSE,1,E06000001,E06000001.1
450258.05838628,525990.48960311,34,FALSE,1,E06000001,E06000001.1
450007.36174888,526045.21317305,35,FALSE,1,E06000001,E06000001.1
449679.55491221,525906.69516746,36,FALSE,1,E06000001,E06000001.1
449544.59960368,526257.19066043,37,FALSE,1,E06000001,E06000001.1
449593.35018063,526467.67779221,38,FALSE,1,E06000001,E06000001.1
449418.34623902,526773.57103749,39,FALSE,1,E06000001,E06000001.1
449540.388703,526368.54725399,40,FALSE,1,E06000001,E06000001.1
449357.35437563,526025.95265848,41,FALSE,1,E06000001,E06000001.1
449329.75480144,525974.29325331,42,FALSE,1,E06000001,E06000001.1
449307.58181907,525970.51453697,43,FALSE,1,E06000001,E06000001.1
448496.54334579,525832.29708759,44,FALSE,1,E06000001,E06000001.1
448271.34343541,526072.39120607,45,FALSE,1,E06000001,E06000001.1
448471.74193081,525831.39738216,46,FALSE,1,E06000001,E06000001.1
447393.73191165,525737.19569854,47,FALSE,1,E06000001,E06000001.1
446589.13760306,526139.29371079,48,FALSE,1,E06000001,E06000001.1
445535.53335665,526104.29281868,49,FALSE,1,E06000001,E06000001.1
445396.84224035,526935.66670513,50,FALSE,1,E06000001,E06000001.1
444829.74112386,527090.16598934,51,FALSE,1,E06000001,E06000001.1
444215.05420128,528006.14080389,52,FALSE,1,E06000001,E06000001.1
443409.75748001,527861.13891741,53,FALSE,1,E06000001,E06000001.1
443023.16717308,526446.65602744,54,FALSE,1,E06000001,E06000001.1
442717.36913061,526991.64706586,55,FALSE,1,E06000001,E06000001.1
441610.89481617,527218.33660673,56,FALSE,1,E06000001,E06000001.1
440895.50629732,527778.81842788,57,FALSE,1,E06000001,E06000001.1
440051.82289556,527820.90669006,58,FALSE,1,E06000001,E06000001.1
439864.62104104,528078.09650214,59,FALSE,1,E06000001,E06000001.1
442605.66723034,528548.12197466,60,FALSE,1,E06000001,E06000001.1
442165.36956662,529899.18499297,61,FALSE,1,E06000001,E06000001.1
442437.67389016,530591.67473964,62,FALSE,1,E06000001,E06000001.1
443110.0805288,531046.6688305,63,FALSE,1,E06000001,E06000001.1
443234.98411672,532102.94808147,64,FALSE,1,E06000001,E06000001.1
443002.38783917,532870.03940216,65,FALSE,1,E06000001,E06000001.1
442341.88088972,533061.04148719,66,FALSE,1,E06000001,E06000001.1
443963.38697038,533128.74607456,67,FALSE,1,E06000001,E06000001.1
444342.98927928,533777.53559619,68,FALSE,1,E06000001,E06000001.1
444316.48744867,534238.22956369,69,FALSE,1,E06000001,E06000001.1
445115.88909106,535011.03367012,70,FALSE,1,E06000001,E06000001.1
444953.18245993,536167.52142792,71,FALSE,1,E06000001,E06000001.1
445814.6896029,536163.92530605,72,FALSE,1,E06000001,E06000001.1
447096.06556051,537153.13316158,73,FALSE,1,E06000001,E06000001.1
447850.25712214,537037.14774224,74,FALSE,1,E06000001,E06000001.1
450790.16763753,520933.92415597,75,FALSE,1,E06000002,E06000002.1
450529.56077939,520687.82442832,76,FALSE,1,E06000002,E06000002.1
451495.67468576,520821.82532988,77,FALSE,1,E06000002,E06000002.1
451385.16954924,520444.23690242,78,FALSE,1,E06000002,E06000002.1
451624.48139994,520857.72599182,79,FALSE,1,E06000002,E06000002.1
451746.47473647,520562.53516459,80,FALSE,1,E06000002,E06000002.1
451791.27842269,520481.53935133,81,FALSE,1,E06000002,E06000002.1
452423.48684792,520273.93952827,82,FALSE,1,E06000002,E06000002.1
452439.78751508,520263.63249593,83,FALSE,1,E06000002,E06000002.1
453260.29428841,519560.72777089,84,FALSE,1,E06000002,E06000002.1
453624.7961014,518544.21937115,85,FALSE,1,E06000002,E06000002.1
453728.40542895,518335.61590482,86,FALSE,1,E06000002,E06000002.1
453995.80377929,517964.51664973,87,FALSE,1,E06000002,E06000002.1
453341.70296649,517681.11972493,88,FALSE,1,E06000002,E06000002.1
451931.69345407,516884.60479148,89,FALSE,1,E06000002,E06000002.1
453107.62067332,515669.29963693,90,FALSE,1,E06000002,E06000002.1
454363.81919541,514742.39430571,91,FALSE,1,E06000002,E06000002.1
454146.12087854,514392.89445387,92,FALSE,1,E06000002,E06000002.1
454494.32641907,513717.49486496,93,FALSE,1,E06000002,E06000002.1
455943.70440688,513641.39623006,94,FALSE,1,E06000002,E06000002.1
455388.6186933,512279.88915899,95,FALSE,1,E06000002,E06000002.1
453562.73626101,512266.20629717,96,FALSE,1,E06000002,E06000002.1
452864.03352679,512746.7063572,97,FALSE,1,E06000002,E06000002.1
452192.03723204,512666.31323189,98,FALSE,1,E06000002,E06000002.1
451425.8310771,512826.01310702,99,FALSE,1,E06000002,E06000002.1
450590.52882129,513127.78708244,100,FALSE,1,E06000002,E06000002.1
449637.6284228,513047.76722293,101,FALSE,1,E06000002,E06000002.1
447757.62433372,513275.80951163,102,FALSE,1,E06000002,E06000002.1
446752.61931903,513851.48249368,103,FALSE,1,E06000002,E06000002.1
446419.01903784,515045.50895164,104,FALSE,1,E06000002,E06000002.1
446334.42733719,515899.03994083003,105,FALSE,1,E06000002,E06000002.1
446913.23197068,517293.59238531,106,FALSE,1,E06000002,E06000002.1
446917.6348478,517303.29990142,107,FALSE,1,E06000002,E06000002.1
447266.62109521,518147.70900631,108,FALSE,1,E06000002,E06000002.1
446774.82034998,518641.20050758,109,FALSE,1,E06000002,E06000002.1
446550.51744087,519068.19062731,110,FALSE,1,E06000002,E06000002.1
447428.11772447,519372.41405405,111,FALSE,1,E06000002,E06000002.1
447912.08097369,519859.70055912,112,FALSE,1,E06000002,E06000002.1
448104.05412622,521580.3801258,113,FALSE,1,E06000002,E06000002.1
448452.04660466,521977.87567798,114,FALSE,1,E06000002,E06000002.1
450790.16763753,520933.92415597,115,FALSE,1,E06000002,E06000002.1
452168.98401027,520820.72877155,116,FALSE,2,E06000002,E06000002.2
451751.77642514,520563.33495328,117,FALSE,2,E06000002,E06000002.2
451646.47964952,520870.33247193,118,FALSE,2,E06000002,E06000002.2
451994.4843611,521028.32686017,119,FALSE,2,E06000002,E06000002.2
452168.98401027,520820.72877155,120,FALSE,2,E06000002,E06000002.2
456986.2380145,526326.1950122,121,FALSE,1,E06000003,E06000003.1
459205.82724309,525412.62751632,122,FALSE,1,E06000003,E06000003.1
459943.72052473,525526.82372422,123,FALSE,1,E06000003,E06000003.1
460825.11193829,525173.43823864,124,FALSE,1,E06000003,E06000003.1
462341.30657934,523860.17402199,125,FALSE,1,E06000003,E06000003.1
463645.70112324,523007.60539326,126,FALSE,1,E06000003,E06000003.1
465724.98586601,522042.63088448,127,FALSE,1,E06000003,E06000003.1
467292.17914474,521589.04388707,128,FALSE,1,E06000003,E06000003.1
468704.26602753,522024.95213689,129,FALSE,1,E06000003,E06000003.1
469897.56227337,521588.15653782,130,FALSE,1,E06000003,E06000003.1
470946.35045729,520482.07477999,131,FALSE,1,E06000003,E06000003.1
471263.15259752,520595.97247511,132,FALSE,1,E06000003,E06000003.1
471328.64661994,520195.46965494,133,FALSE,1,E06000003,E06000003.1
473026.75233215,519969.28144289,134,FALSE,1,E06000003,E06000003.1
474249.14959709,520218.47899566,135,FALSE,1,E06000003,E06000003.1
477131.24488163,518800.60438037,136,FALSE,1,E06000003,E06000003.1
478444.63612085,519070.19168547,137,FALSE,1,E06000003,E06000003.1
478073.14118606,518791.99643098,138,FALSE,1,E06000003,E06000003.1
477688.24455802,517968.31293645,139,FALSE,1,E06000003,E06000003.1
476698.64073924,518118.1073973,140,FALSE,1,E06000003,E06000003.1
475974.53896354,517668.30872098,141,FALSE,1,E06000003,E06000003.1
474607.18524563,515578.79875908,142,FALSE,1,E06000003,E06000003.1
474354.21313559,512537.40768625,143,FALSE,1,E06000003,E06000003.1
474982.54437405,511269.02112001,144,FALSE,1,E06000003,E06000003.1
474691.24409318,510902.31554688,145,FALSE,1,E06000003,E06000003.1
474175.84435512,510882.81757093,146,FALSE,1,E06000003,E06000003.1
472920.33345227,511228.90752367,147,FALSE,1,E06000003,E06000003.1
472583.22187299,511878.19645283,148,FALSE,1,E06000003,E06000003.1
471716.42135012,511849.49754333,149,FALSE,1,E06000003,E06000003.1
467950.40149673,510801.75810637,150,FALSE,1,E06000003,E06000003.1
467055.91132838,511699.34190646,151,FALSE,1,E06000003,E06000003.1
464635.24475008,512422.62611077,152,FALSE,1,E06000003,E06000003.1
463315.76948538,512296.51429116,153,FALSE,1,E06000003,E06000003.1
462482.79657336,511394.61614524,154,FALSE,1,E06000003,E06000003.1
460460.6268232,512080.1029974,155,FALSE,1,E06000003,E06000003.1
458729.15147085,512759.90531547,156,FALSE,1,E06000003,E06000003.1
457614.97943077,512480.20014027,157,FALSE,1,E06000003,E06000003.1
457196.39127872,511787.6936891,158,FALSE,1,E06000003,E06000003.1
455388.6186933,512279.88915899,159,FALSE,1,E06000003,E06000003.1
455943.70440688,513641.39623006,160,FALSE,1,E06000003,E06000003.1
454494.32641907,513717.49486496,161,FALSE,1,E06000003,E06000003.1
454146.12087854,514392.89445387,162,FALSE,1,E06000003,E06000003.1
454363.81919541,514742.39430571,163,FALSE,1,E06000003,E06000003.1
453107.62067332,515669.29963693,164,FALSE,1,E06000003,E06000003.1
451931.69345407,516884.60479148,165,FALSE,1,E06000003,E06000003.1
453341.70296649,517681.11972493,166,FALSE,1,E06000003,E06000003.1
453995.80377929,517964.51664973,167,FALSE,1,E06000003,E06000003.1
453728.40542895,518335.61590482,168,FALSE,1,E06000003,E06000003.1
453624.7961014,518544.21937115,169,FALSE,1,E06000003,E06000003.1
453260.29428841,519560.72777089,170,FALSE,1,E06000003,E06000003.1
452439.78751508,520263.63249593,171,FALSE,1,E06000003,E06000003.1
452423.48684792,520273.93952827,172,FALSE,1,E06000003,E06000003.1
451751.77642514,520563.33495328,173,FALSE,1,E06000003,E06000003.1
452168.98401027,520820.72877155,174,FALSE,1,E06000003,E06000003.1
451994.4843611,521028.32686017,175,FALSE,1,E06000003,E06000003.1
454117.37393325,523314.18113248,176,FALSE,1,E06000003,E06000003.1
454926.77125381,522661.99861583,177,FALSE,1,E06000003,E06000003.1
454137.37626735,523313.68137727,178,FALSE,1,E06000003,E06000003.1
454343.27705456,523587.17529835,179,FALSE,1,E06000003,E06000003.1
455221.56950317,522991.79485109,180,FALSE,1,E06000003,E06000003.1
454513.97258492,523690.4729022,181,FALSE,1,E06000003,E06000003.1
455020.96185155,524470.9472623,182,FALSE,1,E06000003,E06000003.1
454875.26349946,524705.24293834,183,FALSE,1,E06000003,E06000003.1
456125.76025102,524026.55977054,184,FALSE,1,E06000003,E06000003.1
454935.06412222,524777.04043174,185,FALSE,1,E06000003,E06000003.1
454676.1572633,526146.69743163,186,FALSE,1,E06000003,E06000003.1
454792.65707771,526575.68213299,187,FALSE,1,E06000003,E06000003.1
